"ID";"Track";"StartTime";"Length";"PlayRate";"Locked";"Normalized";"StretchMethod";"Looped";"OnRuler";"MediaType";"FileName";"Stream";"StreamStart";"StreamLength";"FadeTimeIn";"FadeTimeOut";"SustainGain";"CurveIn";"GainIn";"CurveOut";"GainOut";"Layer";"Color";"CurveInR";"CurveOutR";"PlayPitch";"LockPitch";"FirstChannel";"Channels"
1; 1; 0.0000; 232783.3333; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Devs\C++\OpenVegas\SAMPLES\veg_project\big-buck-bunny_video-60fps-4k.mp4"; 0; 0.0000; 232783.3333; 37133.3333; 41133.3333; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
2; 2; 0.0000; 232783.3333; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Devs\C++\OpenVegas\SAMPLES\veg_project\big-buck-bunny_video-60fps-4k.mp4"; 0; 0.0000; 232783.3333; 37133.3333; 41133.3333; 1.000000; 1; 0.000000; 1; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
3; 3; 0.0000; 232783.3333; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Devs\C++\OpenVegas\SAMPLES\veg_project\big-buck-bunny_video-60fps-4k.mp4"; 0; 0.0000; 232783.3333; 37133.3333; 41133.3333; 1.000000; -2; 0.000000; 2; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
4; 4; 0.0000; 232783.3333; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Devs\C++\OpenVegas\SAMPLES\veg_project\big-buck-bunny_video-60fps-4k.mp4"; 0; 0.0000; 232783.3333; 37133.3333; 41133.3333; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
5; 5; 0.0000; 232783.3333; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Devs\C++\OpenVegas\SAMPLES\veg_project\big-buck-bunny_video-60fps-4k.mp4"; 0; 0.0000; 232783.3333; 37133.3333; 41133.3333; 1.000000; -4; 0.000000; -4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
6; 0; 0.0000; 232783.3333; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "D:\Devs\C++\OpenVegas\SAMPLES\veg_project\big-buck-bunny_video-60fps-4k.mp4"; 0; 0.0000; 232783.3333; 35702.9652; 41129.8159; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 0; 2
7; 1; 0.0000; 232783.3333; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "D:\Devs\C++\OpenVegas\SAMPLES\veg_project\big-buck-bunny_video-60fps-4k.mp4"; 0; 0.0000; 232783.3333; 36274.2127; 41133.3333; 1.000000; 1; 0.000000; 1; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 2; 1
8; 2; 0.0000; 232783.3333; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "D:\Devs\C++\OpenVegas\SAMPLES\veg_project\big-buck-bunny_video-60fps-4k.mp4"; 0; 0.0000; 232783.3333; 36559.8364; 40844.1922; 1.000000; -2; 0.000000; 2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 3; 1
9; 3; 0.0000; 232783.3333; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "D:\Devs\C++\OpenVegas\SAMPLES\veg_project\big-buck-bunny_video-60fps-4k.mp4"; 0; 0.0000; 232783.3333; 37131.0838; 40558.5685; 1.000000; -4; 0.000000; -4; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 4; 2
10; 4; 0.0000; 232783.3333; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "D:\Devs\C++\OpenVegas\SAMPLES\veg_project\big-buck-bunny_video-60fps-4k.mp4"; 0; 0.0000; 232783.3333; 37131.0838; 40558.5685; 1.000000; -4; 0.000000; -4; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 4; 2
